task,variant,source,trial,comparison_status,counts_for_score,reward,exception_type,valid_verifier_result,timeout_upload_result,result_path,wall_duration_sec,environment_setup_sec,agent_setup_sec,agent_execution_sec,verifier_sec,input_tokens,cache_tokens,output_tokens,token_usage_available,token_usage_source,total_input_output_tokens,uncached_input_tokens,uncached_input_output_tokens,cost_usd,kimi_session_id,kimi_wire_path,kimi_usage_turns,kimi_input_other_tokens,kimi_input_cache_read_tokens,kimi_input_cache_creation_tokens,kimi_llm_first_token_latency_ms_mean,kimi_llm_first_token_latency_ms_median,kimi_llm_stream_duration_ms_mean,kimi_llm_stream_duration_ms_median,kimi_llm_stream_duration_ms_sum,prompt_chars,previous_failure_chars,env_snapshot_chars,injected_context_chars,kimi_stdout_bytes,kimi_stream_events,kimi_tool_call_events,claude_log_bytes,claude_trajectory_steps
hf-model-inference,without Meta-Harness,claude-code+kimi-k2.6,hf-model-inference__7eQnJtr,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-hf-model-inference-claude-code-k6/hf-model-inference__7eQnJtr/result.json,785.958,0.487,1.88,742.956,30.159,844354,844146,7646,True,harbor_agent_result,852000,208,7854,,,,,,,,,,,,,,,,,,,,63274,53
install-windows-3.11,without Meta-Harness,claude-code+kimi-k2.6,install-windows-3.11__P2VgUeT,invalid_or_missing,False,,EnvironmentStartTimeoutError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-install-windows-3.11-claude-code-k6/install-windows-3.11__P2VgUeT/result.json,1201.095,1201.008,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
kv-store-grpc,without Meta-Harness,claude-code+kimi-k2.6,kv-store-grpc__L7ipooF,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-kv-store-grpc-claude-code-k6/kv-store-grpc__L7ipooF/result.json,266.158,0.589,1.445,107.851,146.026,374965,374869,3685,True,harbor_agent_result,378650,96,3781,,,,,,,,,,,,,,,,,,,,47508,25
kv-store-grpc,with Meta-Harness,kimi-code+kimi-for-coding,kv-store-grpc__X93pMKy,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-kvgrpc-kimicode-with-metaharness-20260610T155642/kv-store-grpc__X93pMKy/result.json,278.689,0.843,0.001,257.935,9.33,360061,341504,5998,True,kimi_session_wire,366059,18557,24555,,session_570d3d99-fd6e-434b-947f-4531da73c90a,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_570d3d99-fd6e-434b-947f-4531da73c90a/agents/main/wire.jsonl,13,18557,341504,0,1938.769,1721.0,15974.0,13335.0,207662,6582,2832,782,3614,16145,26,12,,2
large-scale-text-editing,without Meta-Harness,claude-code+kimi-k2.6,large-scale-text-editing__UdzjZwm,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-large-scale-text-editing-claude-code-k6/large-scale-text-editing__UdzjZwm/result.json,685.247,64.3,1.401,310.454,298.897,530293,530193,41946,True,harbor_agent_result,572239,100,42046,,,,,,,,,,,,,,,,,,,,69935,26
largest-eigenval,without Meta-Harness,claude-code+kimi-k2.6,largest-eigenval__fPTqyqk,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-largest-eigenval-claude-code-k6/largest-eigenval__fPTqyqk/result.json,1495.272,489.23,1.37,900.003,94.368,1358694,1358506,61200,True,harbor_agent_result,1419894,188,61388,,,,,,,,,,,,,,,,,,,,183014,48
largest-eigenval,with Meta-Harness,kimi-code+kimi-for-coding,largest-eigenval__nMajFeB,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-largest-eigenval-kimicode-with-metaharness-20260611T002356/largest-eigenval__nMajFeB/result.json,1016.486,0.539,0.001,900.016,105.402,2057761,1986560,31279,True,kimi_session_wire,2089040,71201,102480,,session_73c8cf7e-d1eb-41dd-b295-dff7752554b0,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_73c8cf7e-d1eb-41dd-b295-dff7752554b0/agents/main/wire.jsonl,37,71201,1986560,0,1938.135,1806.0,24437.973,21637.0,904205,15535,12054,882,12936,,,,,
llm-inference-batching-scheduler,without Meta-Harness,claude-code+kimi-k2.6,llm-inference-batching-scheduler__jydaPit,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-llm-inference-batching-scheduler-claude-code-k6/llm-inference-batching-scheduler__jydaPit/result.json,1452.836,2.671,1.413,1415.309,23.245,3823214,3822954,141926,True,harbor_agent_result,3965140,260,142186,,,,,,,,,,,,,,,,,,,,444177,66
log-summary-date-ranges,without Meta-Harness,claude-code+kimi-k2.6,log-summary-date-ranges__gU3UUC8,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-log-summary-date-ranges-claude-code-k6/log-summary-date-ranges__gU3UUC8/result.json,7093.526,2.333,1.457,7011.666,67.351,,,,False,,,,,,,,,,,,,,,,,,,,,,,,30449,
mailman,without Meta-Harness,claude-code+kimi-k2.6,mailman__cenyer7,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mailman-claude-code-k6/mailman__cenyer7/result.json,5754.761,4736.501,244.432,600.438,162.355,4744035,4720679,49145,True,harbor_agent_result,4793180,23356,72501,,,,,,,,,,,,,,,,,,,,356874,159
make-doom-for-mips,without Meta-Harness,claude-code+kimi-k2.6,make-doom-for-mips__BoZ2sES,invalid_or_missing,False,,RuntimeError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-make-doom-for-mips-claude-code-k6/make-doom-for-mips__BoZ2sES/result.json,5.404,5.338,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
make-mips-interpreter,without Meta-Harness,claude-code+kimi-k2.6,make-mips-interpreter__W2YnYtb,invalid_or_missing,False,,RuntimeError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-make-mips-interpreter-claude-code-k6/make-mips-interpreter__W2YnYtb/result.json,75.72,75.654,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
mcmc-sampling-stan,without Meta-Harness,claude-code+kimi-k2.6,mcmc-sampling-stan__fpGMVrL,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mcmc-sampling-stan-claude-code-k6/mcmc-sampling-stan__fpGMVrL/result.json,1398.752,187.682,1.774,881.945,316.205,979844,979700,19629,True,harbor_agent_result,999473,144,19773,,,,,,,,,,,,,,,,,,,,332358,37
merge-diff-arc-agi-task,without Meta-Harness,claude-code+kimi-k2.6,merge-diff-arc-agi-task__JzMwbqw,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-merge-diff-arc-agi-task-claude-code-k6/merge-diff-arc-agi-task__JzMwbqw/result.json,507.424,1.189,1.798,455.441,38.13,2448411,2448147,34480,True,harbor_agent_result,2482891,264,34744,,,,,,,,,,,,,,,,,,,,197620,67
model-extraction-relu-logits,without Meta-Harness,claude-code+kimi-k2.6,model-extraction-relu-logits__X4QrKPQ,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-model-extraction-relu-logits-claude-code-k6/model-extraction-relu-logits__X4QrKPQ/result.json,1388.887,137.406,1.377,900.002,339.879,0,0,0,True,harbor_agent_result,0,0,0,,,,,,,,,,,,,,,,,,,,152309,1
modernize-scientific-stack,without Meta-Harness,claude-code+kimi-k2.6,modernize-scientific-stack__PPvHyvz,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-modernize-scientific-stack-claude-code-k6/modernize-scientific-stack__PPvHyvz/result.json,813.163,673.836,2.038,56.225,70.227,266886,266822,4796,True,harbor_agent_result,271682,64,4860,,,,,,,,,,,,,,,,,,,,38322,17
mteb-leaderboard,without Meta-Harness,claude-code+kimi-k2.6,mteb-leaderboard__uMsCfjK,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mteb-leaderboard-claude-code-k6/mteb-leaderboard__uMsCfjK/result.json,13377.173,504.96,1.758,12843.659,14.534,3423248,3422824,25858,True,harbor_agent_result,3449106,424,26282,,,,,,,,,,,,,,,,,,,,363072,108
mteb-leaderboard,with Meta-Harness,kimi-code+kimi-for-coding,mteb-leaderboard__754VTrP,invalid_or_missing,False,,FileNotFoundError,False,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-mteb-leaderboard-kimicode-with-metaharness-20260610T230525/mteb-leaderboard__754VTrP/result.json,912.367,0.444,0.001,900.532,,3662799,3579904,13628,True,kimi_session_wire,3676427,82895,96523,,session_e317eda6-f526-408b-b200-323d6e44ae08,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_e317eda6-f526-408b-b200-323d6e44ae08/agents/main/wire.jsonl,69,82895,3579904,0,1896.942,1719.0,5217.783,3262.0,360027,6092,2738,782,3520,0,0,0,,
mteb-retrieve,without Meta-Harness,claude-code+kimi-k2.6,mteb-retrieve__CLHJLyT,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-mteb-retrieve-claude-code-k6/mteb-retrieve__CLHJLyT/result.json,2476.652,465.272,2.081,161.912,1835.591,205566,205518,2612,True,harbor_agent_result,208178,48,2660,,,,,,,,,,,,,,,,,,,,24225,13
multi-source-data-merger,without Meta-Harness,claude-code+kimi-k2.6,multi-source-data-merger__Fhag3XN,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-multi-source-data-merger-claude-code-k6/multi-source-data-merger__Fhag3XN/result.json,466.663,208.875,1.95,182.167,62.981,292010,291946,13479,True,harbor_agent_result,305489,64,13543,,,,,,,,,,,,,,,,,,,,51001,17
nginx-request-logging,without Meta-Harness,claude-code+kimi-k2.6,nginx-request-logging__E2cQZLx,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-nginx-request-logging-claude-code-k6/nginx-request-logging__E2cQZLx/result.json,252.624,31.515,1.85,133.098,75.22,1131038,1130782,12682,True,harbor_agent_result,1143720,256,12938,,,,,,,,,,,,,,,,,,,,80168,65
openssl-selfsigned-cert,without Meta-Harness,claude-code+kimi-k2.6,openssl-selfsigned-cert__TqctTLL,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-openssl-selfsigned-cert-claude-code-k6/openssl-selfsigned-cert__TqctTLL/result.json,152.584,11.801,1.996,64.107,63.959,479165,479057,3656,True,harbor_agent_result,482821,108,3764,,,,,,,,,,,,,,,,,,,,37007,28
openssl-selfsigned-cert,with Meta-Harness,kimi-code+kimi-for-coding,openssl-selfsigned-cert__CNeAhwi,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-openssl-kimicode-with-metaharness-20260610T1536/openssl-selfsigned-cert__CNeAhwi/result.json,198.824,0.853,0.001,160.447,27.069,379901,363776,4513,True,kimi_session_wire,384414,16125,20638,,session_5dba214c-a65c-486a-b2fb-544711390341,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_5dba214c-a65c-486a-b2fb-544711390341/agents/main/wire.jsonl,15,16125,363776,0,1706.067,1493.0,8646.467,5701.0,129697,5256,2039,489,2528,12225,30,14,,2
overfull-hbox,without Meta-Harness,claude-code+kimi-k2.6,overfull-hbox__PEttn2h,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-overfull-hbox-claude-code-k6/overfull-hbox__PEttn2h/result.json,1258.979,346.024,1.419,750.003,151.259,491750,491662,50220,True,harbor_agent_result,541970,88,50308,,,,,,,,,,,,,,,,,,,,209683,23
password-recovery,without Meta-Harness,claude-code+kimi-k2.6,password-recovery__x5fA2A8,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-password-recovery-claude-code-k6/password-recovery__x5fA2A8/result.json,1961.657,898.801,1.391,491.665,559.517,2193548,2193164,69943,True,harbor_agent_result,2263491,384,70327,,,,,,,,,,,,,,,,,,,,196794,97
path-tracing,without Meta-Harness,claude-code+kimi-k2.6,path-tracing__eiVp7au,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-path-tracing-claude-code-k6/path-tracing__eiVp7au/result.json,22233.885,192.356,2.016,12380.348,9648.436,1091675,1070139,57123,True,harbor_agent_result,1148798,21536,78659,,,,,,,,,,,,,,,,,,,,218979,49
path-tracing-reverse,without Meta-Harness,claude-code+kimi-k2.6,path-tracing-reverse__kc9w5TZ,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-path-tracing-reverse-claude-code-k6/path-tracing-reverse__kc9w5TZ/result.json,2623.655,666.764,1.434,1800.003,145.16,7161924,7161532,197118,True,harbor_agent_result,7359042,392,197510,,,,,,,,,,,,,,,,,,,,589243,99
polyglot-c-py,without Meta-Harness,claude-code+kimi-k2.6,polyglot-c-py__2TVEbSe,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-polyglot-c-py-claude-code-k6/polyglot-c-py__2TVEbSe/result.json,1449.613,597.114,1.433,585.126,255.363,1191710,1191530,55248,True,harbor_agent_result,1246958,180,55428,,,,,,,,,,,,,,,,,,,,131977,46
polyglot-rust-c,without Meta-Harness,claude-code+kimi-k2.6,polyglot-rust-c__qyDKxNa,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-polyglot-rust-c-claude-code-k6/polyglot-rust-c__qyDKxNa/result.json,1206.134,94.376,1.425,900.003,200.024,0,0,0,True,harbor_agent_result,0,0,0,,,,,,,,,,,,,,,,,,,,1350,1
portfolio-optimization,without Meta-Harness,claude-code+kimi-k2.6,portfolio-optimization__Svgt6Ep,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-portfolio-optimization-claude-code-k6/portfolio-optimization__Svgt6Ep/result.json,815.392,168.519,1.437,342.972,292.192,338372,338296,30518,True,harbor_agent_result,368890,76,30594,,,,,,,,,,,,,,,,,,,,101688,20
protein-assembly,without Meta-Harness,claude-code+kimi-k2.6,protein-assembly__jkDqaEE,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-protein-assembly-claude-code-k6/protein-assembly__jkDqaEE/result.json,1880.613,3.663,1.652,1800.003,64.984,5082904,5082460,76551,True,harbor_agent_result,5159455,444,76995,,,,,,,,,,,,,,,,,,,,382681,112
prove-plus-comm,without Meta-Harness,claude-code+kimi-k2.6,prove-plus-comm__xresmNY,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-prove-plus-comm-claude-code-k6/prove-plus-comm__xresmNY/result.json,5364.797,4701.121,1.369,48.459,603.264,163538,163498,3106,True,harbor_agent_result,166644,40,3146,,,,,,,,,,,,,,,,,,,,15415,11
pypi-server,without Meta-Harness,claude-code+kimi-k2.6,pypi-server__Z6V6uhN,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-pypi-server-claude-code-k6/pypi-server__Z6V6uhN/result.json,514.708,140.942,1.539,156.66,205.026,778101,777933,5014,True,harbor_agent_result,783115,168,5182,,,,,,,,,,,,,,,,,,,,57023,43
pypi-server,with Meta-Harness,kimi-code+kimi-for-coding,pypi-server__LD72UyK,failed,False,0.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-pypi-server-kimicode-with-metaharness-20260611T114127/pypi-server__LD72UyK/result.json,151.246,0.32,0.001,76.472,63.934,101416,88832,1595,True,kimi_session_wire,103011,12584,14179,,session_d68a4634-703c-48a1-960f-ef5b3f1e8572,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_d68a4634-703c-48a1-960f-ef5b3f1e8572/agents/main/wire.jsonl,4,12584,88832,0,1881.5,1503.0,6221.25,6107.0,24885,12728,8949,778,9727,4398,10,6,,2
pytorch-model-cli,without Meta-Harness,claude-code+kimi-k2.6,pytorch-model-cli__icPejXj,passed,True,1.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-pytorch-model-cli-claude-code-k6/pytorch-model-cli__icPejXj/result.json,1244.864,1.097,1.469,900.003,331.75,2633232,2632836,37869,True,harbor_agent_result,2671101,396,38265,,,,,,,,,,,,,,,,,,,,185608,100
pytorch-model-recovery,without Meta-Harness,claude-code+kimi-k2.6,pytorch-model-recovery__jyzHhRy,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-pytorch-model-recovery-claude-code-k6/pytorch-model-recovery__jyzHhRy/result.json,2125.671,553.342,1.468,0.287,1559.752,,,,False,,,,,,,,,,,,,,,,,,,,,,,,1404,
qemu-alpine-ssh,without Meta-Harness,claude-code+kimi-k2.6,qemu-alpine-ssh__J4428uq,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-qemu-alpine-ssh-claude-code-k6/qemu-alpine-ssh__J4428uq/result.json,1547.116,483.185,1.572,900.003,152.144,773415,773251,20717,True,harbor_agent_result,794132,164,20881,,,,,,,,,,,,,,,,,,,,77482,42
qemu-startup,without Meta-Harness,claude-code+kimi-k2.6,qemu-startup__XnvxPvD,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-qemu-startup-claude-code-k6/qemu-startup__XnvxPvD/result.json,891.748,0.647,1.642,702.498,176.533,2601236,2600868,34374,True,harbor_agent_result,2635610,368,34742,,,,,,,,,,,,,,,,,,,,155874,93
query-optimize,without Meta-Harness,claude-code+kimi-k2.6,query-optimize__qSVU2Yu,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-query-optimize-claude-code-k6/query-optimize__qSVU2Yu/result.json,1239.581,65.952,1.54,520.625,641.236,638940,638828,33473,True,harbor_agent_result,672413,112,33585,,,,,,,,,,,,,,,,,,,,97996,29
query-optimize,with Meta-Harness,kimi-code+kimi-for-coding,query-optimize__zDp5pa9,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-queryopt-kimicode-with-metaharness-stop-r2-20260610T174611/query-optimize__zDp5pa9/result.json,597.66,0.723,0.001,110.452,475.739,75384,62208,2307,True,kimi_session_wire,77691,13176,15483,,session_d20748ef-6e0c-4ff4-9161-d3a0c8314386,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_d20748ef-6e0c-4ff4-9161-d3a0c8314386/agents/main/wire.jsonl,3,13176,62208,0,3701.667,4159.0,21092.667,14717.0,63278,6386,2511,1118,3629,8237,7,4,,2
raman-fitting,without Meta-Harness,claude-code+kimi-k2.6,raman-fitting__5ZfLrcZ,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-raman-fitting-claude-code-k6/raman-fitting__5ZfLrcZ/result.json,34777.01,1.023,1.825,13687.977,21075.619,100335,79236,606,True,harbor_agent_result,100941,21099,21705,,,,,,,,,,,,,,,,,,,,9536,9
raman-fitting,with Meta-Harness,kimi-code+kimi-for-coding,raman-fitting__wie6HBc,failed,False,0.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-raman-fitting-kimicode-with-metaharness-20260610T232325/raman-fitting__wie6HBc/result.json,678.753,1.324,0.001,632.652,34.187,802444,756992,20089,True,kimi_session_wire,822533,45452,65541,,session_c90690d0-573c-4fcc-b39d-b913ab85f03c,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_c90690d0-573c-4fcc-b39d-b913ab85f03c/agents/main/wire.jsonl,19,45452,756992,0,1972.895,1838.0,30847.632,34132.0,586105,14237,10686,840,11526,46779,40,21,,2
regex-chess,without Meta-Harness,claude-code+kimi-k2.6,regex-chess__fa4VT7w,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-regex-chess-claude-code-k6/regex-chess__fa4VT7w/result.json,3706.512,39.962,1.677,3600.004,54.577,1754216,1754104,386744,True,harbor_agent_result,2140960,112,386856,,,,,,,,,,,,,,,,,,,,731218,29
regex-log,without Meta-Harness,claude-code+kimi-k2.6,regex-log__eSDmKjt,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-regex-log-claude-code-k6/regex-log__eSDmKjt/result.json,864.669,0.686,1.546,710.542,141.494,202496,202452,67285,True,harbor_agent_result,269781,44,67329,,,,,,,,,,,,,,,,,,,,83023,12
reshard-c4-data,without Meta-Harness,claude-code+kimi-k2.6,reshard-c4-data__vGCyLsM,invalid_or_missing,False,,RuntimeError,False,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-reshard-c4-data-claude-code-k6/reshard-c4-data__vGCyLsM/result.json,231.031,230.952,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
rstan-to-pystan,without Meta-Harness,claude-code+kimi-k2.6,rstan-to-pystan__MGcMmPo,timeout_failure,False,0.0,AgentTimeoutError,True,True,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-rstan-to-pystan-claude-code-k6/rstan-to-pystan__MGcMmPo/result.json,1927.302,75.716,1.476,1800.004,39.554,6484314,6483774,51959,True,harbor_agent_result,6536273,540,52499,,,,,,,,,,,,,,,,,,,,488705,136
sam-cell-seg,without Meta-Harness,claude-code+kimi-k2.6,sam-cell-seg__vcmDyDm,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sam-cell-seg-claude-code-k6/sam-cell-seg__vcmDyDm/result.json,1496.728,45.277,1.582,1202.688,236.923,2952963,2952635,37372,True,harbor_agent_result,2990335,328,37700,,,,,,,,,,,,,,,,,,,,401592,83
sanitize-git-repo,without Meta-Harness,claude-code+kimi-k2.6,sanitize-git-repo__FbeDTPh,failed,False,0.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sanitize-git-repo-claude-code-k6/sanitize-git-repo__FbeDTPh/result.json,213.86,51.398,1.512,92.027,58.401,1100720,1100560,9321,True,harbor_agent_result,1110041,160,9481,,,,,,,,,,,,,,,,,,,,336606,41
sanitize-git-repo,with Meta-Harness,kimi-code+kimi-for-coding,sanitize-git-repo__27w76Zf,passed,True,1.0,,True,False,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-sanitize-kimicode-with-metaharness-20260610T154556/sanitize-git-repo__27w76Zf/result.json,227.081,1.352,0.001,193.839,21.313,453812,421120,8074,True,kimi_session_wire,461886,32692,40766,,session_177bd47e-e60a-468f-a6df-7d86af3b5e14,/Users/hugo/.kimi-code/sessions/wd_kimi-code_6eeaa524c450/session_177bd47e-e60a-468f-a6df-7d86af3b5e14/agents/main/wire.jsonl,13,32692,421120,0,1913.538,1714.0,12475.846,9792.0,162186,5601,2889,544,3433,50712,33,19,,2
schemelike-metacircular-eval,without Meta-Harness,claude-code+kimi-k2.6,schemelike-metacircular-eval__T9jEfuN,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-schemelike-metacircular-eval-claude-code-k6/schemelike-metacircular-eval__T9jEfuN/result.json,1486.885,4.342,1.543,1321.184,149.598,5118791,5118399,126378,True,harbor_agent_result,5245169,392,126770,,,,,,,,,,,,,,,,,,,,523315,99
sparql-university,without Meta-Harness,claude-code+kimi-k2.6,sparql-university__J7S4QUA,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sparql-university-claude-code-k6/sparql-university__J7S4QUA/result.json,609.51,2.118,1.833,544.848,50.543,59539,59511,61466,True,harbor_agent_result,121005,28,61494,,,,,,,,,,,,,,,,,,,,113655,8
sqlite-db-truncate,without Meta-Harness,claude-code+kimi-k2.6,sqlite-db-truncate__THWv6QN,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sqlite-db-truncate-claude-code-k6/sqlite-db-truncate__THWv6QN/result.json,517.002,2.79,1.791,460.838,41.398,674935,674811,43621,True,harbor_agent_result,718556,124,43745,,,,,,,,,,,,,,,,,,,,109279,32
sqlite-with-gcov,without Meta-Harness,claude-code+kimi-k2.6,sqlite-with-gcov__YU6sA7E,passed,True,1.0,,True,False,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sqlite-with-gcov-claude-code-k6/sqlite-with-gcov__YU6sA7E/result.json,192.792,2.458,1.599,121.767,56.444,659827,659691,4605,True,harbor_agent_result,664432,136,4741,,,,,,,,,,,,,,,,,,,,110130,35
